Title,DOI,Year,Source,Count
"DeepTraLog: Trace-Log Combined Microservice Anomaly Detection through Graph-Based Deep Learning","10.1145/3510003.3510180",2022,"ACM, IEEE, SCOPUS",3
"MiSeRTrace: Kernel-Level Request Tracing for Microservice Visibility","10.1145/3491204.3527462",2022,"ACM, SCOPUS",2
"BSDG: Anomaly Detection Of&nbsp;Microservice Trace Based On&nbsp;Dual Graph Convolutional Neural Network","10.1007/978-3-031-20984-0_12",2022,"ACM, SCOPUS, SPRINGER",3
"Trace Analysis Based Microservice Architecture Measurement","10.1145/3540250.3558951",2022,"ACM, SCOPUS",2
"AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-Scale Cloud Systems","10.1109/ASE51524.2021.9678534",2022,"ACM, IEEE, SCOPUS",3
"Improving Business Processes Using Blockchain, Microservices, or Cloud Computing: A Goal-Oriented Approach","",2021,"ACM",1
"Erms: Efficient Resource Management for Shared Microservices with SLA Guarantees","10.1145/3567955.3567964",2022,"ACM",1
"GRAF: A Graph Neural Network Based Proactive Resource Allocation Framework for SLO-Oriented Microservices","10.1145/3485983.3494866",2021,"ACM, SCOPUS",2
"Cushion: A Proactive Resource Provisioning Method to Mitigate SLO Violations for Containerized Microservices","10.1049/cmu2.12464",2022,"ACM",1
"Automated Test-Based Learning and Verification of Performance Models for Microservices Systems","10.1016/j.jss.2022.111225",2022,"ACM",1
"Performance Diagnosis in Cloud Microservices Using Deep Learning","10.1007/978-3-030-76352-7_13",2020,"ACM, SCOPUS, SPRINGER",3
"MicroRCA: Root Cause Localization of Performance Issues in Microservices","10.1109/NOMS47738.2020.9110353",2020,"ACM, IEEE, SCOPUS",3
"MicroEGRCL: An Edge-Attention-Based Graph Neural Network Approach For&nbsp;Root Cause Localization In&nbsp;Microservice Systems,Chen","10.1007/978-3-031-20984-0_18",2022,"ACM, SCOPUS, SPRINGER",3
"Model-Driven Generation of Microservice Architectures for Benchmarking Performance and Resilience Engineering Approaches","10.1145/3053600.3053627",2017,"ACM",1
"Benchmark Requirements for Microservices Architecture Research","",2017,"ACM",1
"Automatic Performance Diagnosis and Recovery in Cloud Microservices / Automatische Leistungsdiagnose Und Wiederherstellung in  Cloud-Microservices","",2022,"ACM",1
"Secure Distributed Applications the Decent Way","10.1145/3457340.3458304",2021,"ACM",1
"Asynchronous Snapshots of Actor Systems for Latency-Sensitive Applications","10.1145/3357390.3361019",2019,"ACM",1
"Proactive-Reactive Global Scaling, With&nbsp;Analytics","10.1007/978-3-031-20984-0_16",2022,"ACM",1
"Using Microservice Telemetry Data for System Dynamic Analysis","10.1109/SOSE55356.2022.00010",2022,"IEEE, SCOPUS",2
"Poster: Benchmarking Microservice Systems for Software Engineering Research","",2018,"IEEE",1
"TADL: Fault Localization with Transformer-based Anomaly Detection for Dynamic Microservice Systems","10.1109/SANER56733.2023.00078",2023,"IEEE, SCOPUS",2
"ORCAS: Efficient Resilience Benchmarking of Microservice Architectures","10.1109/ISSREW.2018.00-10",2018,"IEEE, SCOPUS",2
"Localizing and Explaining Faults in Microservices Using Distributed Tracing","10.1109/CLOUD55607.2022.00072",2022,"IEEE, SCOPUS",2
"Trace-based Intelligent Fault Diagnosis for Microservices with Deep Learning","10.1109/COMPSAC51774.2021.00121",2021,"IEEE, SCOPUS",2
"VECROsim: A Versatile Metric-oriented Microservice Fault Simulation System (Tools and Artifact Track)","10.1109/ISSRE55969.2022.00037",2022,"IEEE, SCOPUS",2
"An Anomaly Detection Algorithm for Microservice Architecture Based on Robust Principal Component Analysis","10.1109/ACCESS.2020.3044610",2020,"IEEE, SCOPUS",2
"Practical Root Cause Localization for Microservice Systems via Trace Analysis","10.1109/IWQOS52092.2021.9521340",2021,"IEEE, SCOPUS",2
"ServiceRank: Root Cause Identification of Anomaly in Large-Scale Microservice Architectures","10.1109/TDSC.2021.3083671",2022,"IEEE, SCOPUS",2
"μBench: An Open-Source Factory of Benchmark Microservice Applications","10.1109/TPDS.2023.3236447",2023,"IEEE",1
"A Framework of Virtual War Room and Matrix Sketch-Based Streaming Anomaly Detection for Microservice Systems","10.1109/ACCESS.2020.2977464",2020,"IEEE",1
"T-Rank:A Lightweight Spectrum based Fault Localization Approach for Microservice Systems","10.1109/CCGrid51090.2021.00051",2021,"IEEE, SCOPUS",2
"Robust Anomaly Diagnosis in Heterogeneous Microservices Systems under Variable Invocations","10.1109/GLOBECOM48099.2022.10001270",2022,"IEEE, SCOPUS",2
"MFRL-CA: Microservice Fault Root Cause Location based on Correlation Analysis","10.1109/DSA52907.2021.00018",2021,"IEEE, SCOPUS",2
"Multi-Layer Observability for Fault Localization in Microservices Based Systems","10.1109/SANER56733.2023.00081",2023,"IEEE",1
"Fault Localization for Microservice Applications with System Logs and Monitoring Metrics","10.1109/ICCCBDA55098.2022.9778893",2022,"IEEE, SCOPUS",2
"MicroMILTS: Fault Location for Microservices Based Mutual Information and LSTM Autoencoder","10.23919/APNOMS56106.2022.9919941",2022,"IEEE, SCOPUS",2
"Root-Cause Metric Location for Microservice Systems via Log Anomaly Detection","10.1109/ICWS49710.2020.00026",2020,"IEEE, SCOPUS",2
"A Saga Pattern Microservice Reference Architecture for an Elastic SLO Violation Analysis","10.1109/ICSA-C54293.2022.00029",2022,"IEEE, SCOPUS",2
"A layered framework for root cause diagnosis of microservices","10.1109/NCA53618.2021.9685494",2021,"IEEE",1
"Cloud Native Applications Profiling using a Graph Neural Networks Approach","10.1109/FNWF55208.2022.00046",2022,"IEEE, SCOPUS",2
"Fitness-guided Resilience Testing of Microservice-based Applications","10.1109/ICWS49710.2020.00027",2020,"IEEE, SCOPUS",2
"A Data-Centric Approach to Distributed Tracing","10.1109/CloudCom.2019.00039",2019,"IEEE, SCOPUS",2
"MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF","10.1109/CLOUD55607.2022.00043",2022,"IEEE, SCOPUS",2
"Diagnosing Performance Issues in Microservices with Heterogeneous Data Source","10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00074",2021,"IEEE, SCOPUS",2
"TS-InvarNet: Anomaly Detection and Localization based on Tempo-spatial KPI Invariants in Distributed Services","10.1109/ICWS55610.2022.00031",2022,"IEEE",1
"DyCause: Crowdsourcing to Diagnose Microservice Kernel Failure","10.1109/TDSC.2022.3233915",2023,"IEEE, SCOPUS",2
"Large-Scale Intelligent Microservices","10.1109/BigData50022.2020.9378270",2020,"IEEE, SCOPUS",2
"A Roadmap for Migration System-Architecture Decision by Neutrosophic-ANP and Benchmark for Enterprise Resource Planning Systems","10.1109/ACCESS.2021.3068837",2021,"IEEE, SCOPUS",2
"Automated performance prediction of microservice applications using simulation","10.1109/MASCOTS53633.2021.9614260",2021,"IEEE",1
"Chamulteon: Coordinated Auto-Scaling of Micro-Services","10.1109/ICDCS.2019.00199",2019,"IEEE",1
"Automated Grey-Box Testing of Microservice Architectures","10.1109/QRS57517.2022.00070",2022,"IEEE",1
"MicroDiag: Fine-grained Performance Diagnosis for Microservice Systems","10.1109/CloudIntelligence52565.2021.00015",2021,"IEEE, SCOPUS",2
"Telemetry-Based Software Failure Prediction by Concept-Space Model Creation","10.1109/QRS57517.2022.00030",2022,"IEEE",1
"Self-Adaptive Root Cause Diagnosis for Large-Scale Microservice Architecture","10.1109/TSC.2020.2993251",2022,"IEEE, SCOPUS",2
"In-Network Processing Acoustic Data for Anomaly Detection in Smart Factory","10.1109/GLOBECOM46510.2021.9685791",2021,"IEEE, SCOPUS",2
"MicroRAS: Automatic Recovery in the Absence of Historical Failure Data for Microservice Systems","10.1109/UCC48980.2020.00041",2020,"IEEE, SCOPUS",2
"Response Time Characterization of Microservice-Based Systems","10.1109/NCA.2018.8548062",2018,"IEEE",1
"Enhancing Fault Injection Testing of Service Systems via Fault-Tolerance Bottleneck","10.1109/TSE.2023.3285357",2023,"IEEE",1
"MS-Rank: Multi-Metric and Self-Adaptive Root Cause Diagnosis for Microservice Applications","10.1109/ICWS.2019.00022",2019,"IEEE, SCOPUS",2
"Efficient Management in Fog Computing","10.1109/NOMS56928.2023.10154219",2023,"IEEE",1
"Advancing Static Code Analysis With Language-Agnostic Component Identification","10.1109/ACCESS.2022.3160485",2022,"IEEE, SCOPUS",2
"Scalable Collaborative Software Visualization as a Service: Short Industry and Experience Paper","10.1109/IC2E55432.2022.00026",2022,"IEEE",1
"Edge Anomaly Detection Framework for AIOps in Cloud and IoT","10.5220/0011838600003488",2023,"SCOPUS",1
"MicroState: An Anomaly Localization Method in Heterogeneous Microservice Systems","10.1587/transinf.2022DAP0003",2023,"SCOPUS",1
"Assessing Database Contribution via Distributed Tracing for Microservice Systems","10.3390/app122211488",2022,"SCOPUS",1
"Root Cause Analysis of Anomalies Based on Graph Convolutional Neural Network","10.1142/S0218194022500395",2022,"SCOPUS",1
"Characterizing and synthesizing the workflow structure of microservices in ByteDance Cloud","10.1002/smr.2467",2022,"SCOPUS",1
"ICPE 2022 - Companion of the 2022 ACM/SPEC International Conference on Performance Engineering","",2022,"SCOPUS",1
"Performance Modeling and Anomaly Location of Large Microservice Systems Based on Trace Control Flow Analysis [基于调用链控制�?分�?的大型微�?务系统性能建模与异常定�?]","10.13328/j.cnki.jos.006209",2022,"SCOPUS",1
"Data Fusion of Observability Signals for Assisting Orchestration of Distributed Applications","10.3390/s22052061",2022,"SCOPUS",1
"A Subgrid-Oriented Privacy-Preserving Microservice Framework Based on Deep Neural Network for False Data Injection Attack Detection in Smart Grids","10.1109/TII.2021.3102332",2022,"SCOPUS",1
"15th International Conference on the Quality of Information and Communications Technology, QUATIC 2022","",2022,"SCOPUS",1
"An Approach of Automated Anomalous Microservice Ranking in Cloud-Native Environments","10.1142/S0218194021400167",2021,"SCOPUS",1
"Improving observability in Event Sourcing systems","10.1016/j.jss.2021.111015",2021,"SCOPUS",1
"Faster, deeper, easier: Crowdsourcing diagnosis of microservice kernel failure from user space","10.1145/3460319.3464805",2021,"SCOPUS",1
"Detecting anomalies in microservices with execution trace comparison","10.1016/j.future.2020.10.040",2021,"SCOPUS",1
"TraceRank: Abnormal service localization with dis-aggregated end-to-end tracing data in cloud native systems","10.1002/smr.2413",2021,"SCOPUS",1
"AAMR: Automated anomalous microservice ranking in cloud-native environment","10.18293/SEKE2021-091",2021,"SCOPUS",1
"Automated code-smell detection in microservices through static analysis: A case study","10.3390/app10217800",2020,"SCOPUS",1
"Identification of Comparison Key Elements and Their Relationships for Cloud Service Selection","10.1007/978-3-030-44769-4_6",2020,"SCOPUS, SPRINGER",2
"Efficient resource management in the cloud: From simulation to experimental validation using a low-cost Raspberry Pi testbed","10.1002/spe.2669",2019,"SCOPUS",1
"Offering security diagnosis as a service for cloud SaaS applications","10.1016/j.jisa.2018.11.006",2019,"SCOPUS",1
"12th International Conference on Cloud Computing, CLOUD 2019 held as part of the Services Conference Federation, SCF 2019","",2019,"SCOPUS",1
"22nd International Conference on Fundamental Approaches to Software Engineering, FASE 2019, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2019","",2019,"SCOPUS",1
"On anomaly detection and root cause analysis of microservice systems","10.1007/978-3-030-17642-6_45",2019,"SCOPUS, SPRINGER",2
"Visualization Tool for Designing Microservices with the Monolith-First Approach","10.1109/VISSOFT.2018.00012",2018,"SCOPUS",1
"Procedia Computer Science","",2015,"SCOPUS",1
"IoT composition based on self-controlled services","10.1007/s12652-020-01831-4",2020,"SPRINGER",1
"Improved data-driven root cause analysis in fog computing environment","10.1007/s40860-021-00158-x",2022,"SPRINGER",1
"Testing Very Large Database Management Systems: The Case of SAP HANA","10.1007/s13222-022-00426-x",2022,"SPRINGER",1
"Containerization technologies: taxonomies, applications and challenges","10.1007/s11227-021-03914-1",2022,"SPRINGER",1
"Enjoy your observability: an industrial survey of microservice tracing and analysis","10.1007/s10664-021-10063-9",2021,"SPRINGER",1
"Performance optimization for cloud computing systems in the microservice era: state-of-the-art and research opportunities","10.1007/s11704-020-0072-3",2022,"SPRINGER",1
"A search-based identification of variable microservices for enterprise SaaS","10.1007/s11704-022-1390-4",2022,"SPRINGER",1
"A method for monitoring the coupling evolution of microservice-based architectures","10.1186/s13173-021-00120-y",2021,"SPRINGER",1
"Intent-Driven Orchestration: Enforcing Service Level Objectives for Cloud Native Deployments","10.1007/s42979-023-01698-0",2023,"SPRINGER",1
"Industry practices and challenges for the evolvability assurance of microservices","10.1007/s10664-021-09999-9",2021,"SPRINGER",1
"18th ISoP Annual Meeting “Pharmacovigilance without borders�? Geneva, Switzerland, 11–14 November, 2018","10.1007/s40264-018-0719-2",2018,"SPRINGER",1
"A survey on AI for storage","10.1007/s42514-022-00101-3",2022,"SPRINGER",1
"Automated Analysis of Distributed Tracing: Challenges and Research Directions","10.1007/s10723-021-09551-5",2021,"SPRINGER",1
"The Twenty-First Century General Insurance Scenario in the Third World: The Case Study of the Indian Market","10.1111/1468-0440.00070",2000,"SPRINGER",1
"Cloud Resource Demand Prediction using Machine Learning in the Context of QoS Parameters","10.1007/s10723-021-09561-3",2021,"SPRINGER",1
"IoT-based botnet attacks systematic mapping study of literature","10.1007/s11192-020-03819-5",2021,"SPRINGER",1
"An empirical assessment of baseline feature location techniques","10.1007/s10664-019-09734-5",2020,"SPRINGER",1
"Big data in cybersecurity: a survey of applications and future trends","10.1007/s40860-020-00120-3",2021,"SPRINGER",1
"SDNFV Based Threat Monitoring and Security Framework for Multi-Access Edge Computing Infrastructure","10.1007/s11036-019-01389-2",2019,"SPRINGER",1
"Penetration testing framework for smart contract Blockchain","10.1007/s12083-020-00991-6",2021,"SPRINGER",1
"Automatic analysis of attack graphs for risk mitigation and prioritization on large-scale and complex networks in Industry 4.0","10.1007/s10207-020-00533-4",2022,"SPRINGER",1
"Building a Performance Efficient Core Banking System Based on the Microservices Architecture","10.1007/s10723-022-09624-z",2022,"SPRINGER",1
"Optimal deployment of components of cloud-hosted application for guaranteeing multitenancy isolation","10.1186/s13677-018-0124-5",2019,"SPRINGER",1
"Maintaining container sustainability through machine learning","10.1007/s10586-021-03359-4",2021,"SPRINGER",1
"EPMA: Elastic Platform for Microservices-based Applications: Towards Optimal Resource Elasticity","10.1007/s10723-021-09597-5",2022,"SPRINGER",1
"An automatic model management system and its implementation for AIOps on microservice platforms","10.1007/s11227-023-05123-4",2023,"SPRINGER",1
"Closing the Feedback Loop in DevOps Through Autonomous Monitors in Operations","10.1007/s42979-021-00826-y",2021,"SPRINGER",1
"IO dependent SSD cache allocation for elastic Hadoop applications","10.1007/s11432-017-9401-y",2018,"SPRINGER",1
"Feature-based critical components identification in multimedia software","10.1007/s11042-021-11277-1",2022,"SPRINGER",1
"OG-RADL: overall performance-based resource-aware dynamic load-balancer for deadline constrained Cloud tasks","10.1007/s11227-020-03544-z",2021,"SPRINGER",1
"Detecting Semantic Clones in Microservices Using Components","10.1007/s42979-023-01910-1",2023,"SPRINGER",1
"One Class Density Estimation Approach for Fault Detection and Rootcause Analysis in Computer Networks","10.1007/s10922-022-09671-7",2022,"SPRINGER",1
"Prediction of low accessibility in 4G networks","10.1007/s12243-021-00849-9",2022,"SPRINGER",1
"Optimized Sampling Strategies to Model the Performance of Virtualized Network Functions","10.1007/s10922-020-09547-8",2020,"SPRINGER",1
"CSADE: a delay-sensitive scheduling method based on task admission and delay evaluation on edge–cloud collaboration","10.1007/s10586-023-04017-7",2023,"SPRINGER",1
"A Survey on the Use of Lightweight Virtualization in I4.0 Manufacturing Environments","10.1007/s10922-023-09725-4",2023,"SPRINGER",1
"A hierarchical model for quantifying software security based on static analysis alerts and software metrics","10.1007/s11219-021-09555-0",2021,"SPRINGER",1
"Network Management 2030: Operations and Control of Network 2030 Services","10.1007/s10922-020-09517-0",2020,"SPRINGER",1
"CARS 2020—Computer Assisted Radiology and Surgery Proceedings of the 34th International Congress and Exhibition, Munich, Germany, June 23–27, 2020","10.1007/s11548-020-02171-6",2020,"SPRINGER",1
"A benchmark-based evaluation of search-based crash reproduction","10.1007/s10664-019-09762-1",2020,"SPRINGER",1
"Using Real-Time Dashboards to Monitor the Impact of Disruptive Events on Real Estate Market. Case of COVID-19 Pandemic in Australia","10.1007/s43762-022-00044-z",2022,"SPRINGER",1
"Anomalous behavior detection-based approach for authenticating smart home system users","10.1007/s10207-021-00571-6",2022,"SPRINGER",1
"Improving microservice-based applications with runtime placement adaptation","10.1186/s13174-019-0104-0",2019,"SPRINGER",1
"A survey of Kubernetes scheduling algorithms","10.1186/s13677-023-00471-1",2023,"SPRINGER",1
"ROS-based architecture for fast digital twin development of smart manufacturing robotized systems","10.1007/s10479-022-04759-4",2023,"SPRINGER",1
"Does PageRank apply to service ranking in microservice regression testing?","10.1007/s11219-021-09579-6",2022,"SPRINGER",1
"A multi-agent architecture for scheduling in platform-based smart manufacturing systems","10.1631/FITEE.1900094",2019,"SPRINGER",1
"A Survey On Log Research Of AIOps: Methods and Trends","10.1007/s11036-021-01832-3",2021,"SPRINGER",1
"A two-tier hybrid ensemble learning pipeline for intrusion detection systems in IoT networks","10.1007/s12652-022-04461-0",2023,"SPRINGER",1
"Evaluation of distributed stream processing frameworks for IoT applications in Smart Cities","10.1186/s40537-019-0215-2",2019,"SPRINGER",1
"Qualitative and quantitative comparison of Spring Cloud and Kubernetes in migrating from a monolithic to a microservice architecture","10.1007/s11761-023-00364-w",2023,"SPRINGER",1
"On the relation of control-flow and performance feature interactions: a case study","10.1007/s10664-019-09705-w",2019,"SPRINGER",1
"Resource scheduling techniques in cloud from a view of coordination: a holistic survey","10.1631/FITEE.2100298",2023,"SPRINGER",1
"Modeling Performance of Microservices Systems with Growth Theory","10.1007/s10664-021-10088-0",2022,"SPRINGER",1
"Facilitating the migration to the microservice architecture via model-driven reverse engineering and reinforcement learning","10.1007/s10270-022-00977-3",2022,"SPRINGER",1
"A distributed ensemble design based intrusion detection system using fog computing to protect the internet of things networks","10.1007/s12652-020-02696-3",2021,"SPRINGER",1
"An experimental study of fog and cloud computing in CEP-based Real-Time IoT applications","10.1186/s13677-021-00245-7",2021,"SPRINGER",1
"DICE simulation: a tool for software performance assessment at the design stage","10.1007/s10515-022-00335-z",2022,"SPRINGER",1
"Component-Centric Mobile Cloud Architecture Performance Evaluation: an Analytical Approach for Unified Models and Component Compatibility with Next Generation Evolving Technologies","10.1007/s11036-022-01933-7",2022,"SPRINGER",1
"Evaluating the agreement among technical debt measurement tools: building an empirical benchmark of technical debt liabilities","10.1007/s10664-020-09869-w",2020,"SPRINGER",1
"A digital shadow framework using distributed system concepts","10.1007/s10845-022-02028-6",2022,"SPRINGER",1
"DTFab: A Digital Twin based Approach for Optimal Reticle Management in Semiconductor Photolithography","10.1007/s11518-023-5564-x",2023,"SPRINGER",1
"Early Spam Detection Using Time-Based Cache in Graph database","10.1007/s00354-023-00223-4",2023,"SPRINGER",1
"ITS, The End of the World as We Know It: Transitioning AIED into a Service-Oriented Ecosystem","10.1007/s40593-016-0098-8",2016,"SPRINGER",1
"Cor-ENTC:correlation with ensembled approach for network traffic classification using SDN technology for future networks","10.1007/s11227-022-04969-4",2023,"SPRINGER",1
"World of code: enabling a research workflow for mining and analyzing the universe of open source VCS data","10.1007/s10664-020-09905-9",2021,"SPRINGER",1
"Load balancing in cloud computing – A hierarchical taxonomical classification","10.1186/s13677-019-0146-7",2019,"SPRINGER",1
"Social Internet of Things: vision, challenges, and trends","10.1186/s13673-020-00254-6",2020,"SPRINGER",1
"MiCADO-Edge: Towards an Application-level Orchestrator for the Cloud-to-Edge Computing Continuum","10.1007/s10723-021-09589-5",2021,"SPRINGER",1
"Rotten green tests in Java, Pharo and Python","10.1007/s10664-021-10016-2",2021,"SPRINGER",1
"Edge computing in SDN-IoT networks: a systematic review of issues, challenges and solutions","10.1007/s10586-021-03311-6",2021,"SPRINGER",1
"Upgrading a high performance computing environment for massive data processing","10.1186/s13174-019-0118-7",2019,"SPRINGER",1
"A multi-model framework for semantically enhancing detection of quality-related bug report descriptions","10.1007/s10664-022-10280-w",2023,"SPRINGER",1
"Genetic Algorithm for Multi-Objective Optimization of Container Allocation in Cloud Architecture","10.1007/s10723-017-9419-x",2018,"SPRINGER",1
"Containers in HPC: a survey","10.1007/s11227-022-04848-y",2023,"SPRINGER",1
"A state-of-the-art survey of Digital Twin: techniques, engineering product lifecycle management and business innovation perspectives","10.1007/s10845-019-01512-w",2020,"SPRINGER",1
"Genetic-based web regression testing: an ontology-based multi-objective evolutionary framework to auto-regression testing of web applications","10.1007/s11761-020-00312-y",2021,"SPRINGER",1
"A method for transforming knowledge discovery metamodel to ArchiMate models","10.1007/s10270-021-00912-y",2022,"SPRINGER",1
"Building orchestrated microservice systems using declarative business processes","10.1007/s11761-020-00300-2",2020,"SPRINGER",1
"Test them all, is it worth it? Assessing configuration sampling on the JHipster Web development stack","10.1007/s10664-018-9635-4",2019,"SPRINGER",1
"Efficient autonomic and elastic resource management techniques in cloud environment: taxonomy and analysis","10.1007/s11276-021-02614-1",2021,"SPRINGER",1
"Resilient and dependability management in distributed environments: a systematic and comprehensive literature review","10.1007/s10586-022-03738-5",2023,"SPRINGER",1
"Autonomous robotic additive manufacturing through distributed model�?free deep reinforcement learning in computational design environments","10.1007/s41693-022-00069-0",2022,"SPRINGER",1
"Voxer—a platform for creating, customizing, and sharing scientific visualizations","10.1007/s12650-019-00595-0",2019,"SPRINGER",1
"Task scheduling in the internet of things: challenges, solutions, and future trends","10.1007/s10586-023-03991-2",2023,"SPRINGER",1
"Empirical assessment of generating adversarial configurations for software product lines","10.1007/s10664-020-09915-7",2021,"SPRINGER",1
"Comparative analysis of color histogram and LBP in CBIR systems","10.1007/s11042-023-15955-0",2023,"SPRINGER",1
"A systematic review on effective energy utilization management strategies in cloud data centers","10.1186/s13677-022-00368-5",2022,"SPRINGER",1
"Docker Cluster Management for the Cloud - Survey Results and Own Solution","10.1007/s10723-016-9366-y",2016,"SPRINGER",1
"Virtualization in Cloud Computing: Moving from Hypervisor to Containerization—A Survey","10.1007/s13369-021-05553-3",2021,"SPRINGER",1
"The Implementation of a Cloud-Edge Computing Architecture Using OpenStack and Kubernetes for Air Quality Monitoring Application","10.1007/s11036-020-01620-5",2021,"SPRINGER",1
"A technology transfer journey to a model-driven access control system","10.1007/s10009-023-00697-z",2023,"SPRINGER",1
"A machine learning approach for performance-oriented decision support in service-oriented architectures","10.1007/s10844-020-00617-6",2021,"SPRINGER",1
"Interval graph multi-coloring-based resource reservation for energy-efficient containerized cloud data centers","10.1007/s11227-020-03439-z",2021,"SPRINGER",1
"Search-based multi-vulnerability testing of XML injections in web applications","10.1007/s10664-019-09707-8",2019,"SPRINGER",1
"Static and Dynamic Dependency Visualization in a Layered Software City","10.1007/s42979-022-01404-6",2022,"SPRINGER",1
"Topic modeling in software engineering research","10.1007/s10664-021-10026-0",2021,"SPRINGER",1
"Special issue on deep learning and big data analytics for medical e-diagnosis/AI-based e-diagnosis","10.1007/s00521-023-08689-5",2023,"SPRINGER",1
"Workload Time Series Cumulative Prediction Mechanism for Cloud Resources Using Neural Machine Translation Technique","10.1007/s10723-022-09607-0",2022,"SPRINGER",1
"Special Issue on New Paradigms of Software Production and Deployment","10.1007/s42979-022-01029-9",2022,"SPRINGER",1
"Building an open-source system test generation tool: lessons learned and empirical analyses with EvoMaster","10.1007/s11219-023-09620-w",2023,"SPRINGER",1
"Automatic gait analysis through computer vision: a pilot study","10.1007/s00521-023-08549-2",2023,"SPRINGER",1
"IoT-fog-based healthcare 4.0 system using blockchain technology","10.1007/s11227-022-04788-7",2023,"SPRINGER",1
"Energy and cost trade-off for computational tasks offloading in mobile multi-tenant clouds","10.1007/s10586-020-03226-8",2021,"SPRINGER",1
"A bi-metric autoscaling approach for n-tier web applications on kubernetes","10.1007/s11704-021-0118-1",2021,"SPRINGER",1
"A priority-aware scheduling framework for heterogeneous workloads in container-based cloud","10.1007/s10489-022-04164-1",2023,"SPRINGER",1
